%time,field.header.seq,field.header.stamp,field.header.frame_id,field.ns,field.id,field.type,field.action,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.scale.x,field.scale.y,field.scale.z,field.color.r,field.color.g,field.color.b,field.color.a,field.lifetime,field.frame_locked,field.points0.x,field.points0.y,field.points0.z,field.text,field.mesh_resource,field.mesh_use_embedded_materials
1580560104770396213,1,1580560104770104885,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.135871887207,0.114536456764,0.489000022411,,,0
1580560104818704070,2,1580560104818335056,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.138404622674,0.115235075355,0.506000041962,,,0
1580560106550381893,3,1580560106550087928,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.142564475536,0.103255338967,0.476000010967,,,0
1580560106600678593,4,1580560106600425004,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.142128691077,0.103689186275,0.47800001502,,,0
1580560106654154667,5,1580560106653779983,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.141093894839,0.101621493697,0.47800001502,,,0
1580560106705171875,6,1580560106704844951,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.142110154033,0.103109680116,0.485000014305,,,0
1580560106769711768,7,1580560106769315004,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.142223581672,0.103960067034,0.489000022411,,,0
1580560106821455549,8,1580560106821176052,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.145859032869,0.107748121023,0.487000018358,,,0
1580560106874336062,9,1580560106874099969,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.142403170466,0.110680326819,0.486000031233,,,0
1580560106924932658,10,1580560106924652099,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.140106350183,0.107132978737,0.489000022411,,,0
1580560106975373701,11,1580560106975025892,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.140679389238,0.106509193778,0.491000026464,,,0
1580560107034354173,12,1580560107034029006,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.143282204866,0.112421177328,0.489000022411,,,0
1580560107111363918,13,1580560107111118078,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.143282204866,0.11136353761,0.489000022411,,,0
1580560107172752038,14,1580560107172463893,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.143575206399,0.111591264606,0.490000009537,,,0
1580560107231787422,15,1580560107231549978,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.143868222833,0.111819006503,0.491000026464,,,0
1580560107282237368,16,1580560107281984090,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.143575206399,0.112651079893,0.490000009537,,,0
1580560107330184530,17,1580560107329943895,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.143575206399,0.111591264606,0.490000009537,,,0
1580560107381029303,18,1580560107380796909,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.143282204866,0.11136353761,0.489000022411,,,0
1580560107475661924,19,1580560107475382089,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.143282204866,0.11136353761,0.489000022411,,,0
1580560107528582940,20,1580560107528343915,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.144635990262,0.112651079893,0.490000009537,,,0
1580560107577775896,21,1580560107577491044,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.143282204866,0.11136353761,0.489000022411,,,0
1580560107739793844,22,1580560107739459991,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.142989188433,0.111135803163,0.488000035286,,,0
1580560107788625249,23,1580560107788372039,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.144045650959,0.111135803163,0.488000035286,,,0
1580560107837211230,24,1580560107836961030,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.142989188433,0.111135803163,0.488000035286,,,0
1580560107896582669,25,1580560107896328926,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.142223581672,0.11136353761,0.489000022411,,,0
1580560107956412527,26,1580560107956152915,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.143282204866,0.11136353761,0.489000022411,,,0
1580560108033544883,27,1580560108033252954,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.143282204866,0.11136353761,0.489000022411,,,0
1580560108084884082,28,1580560108084604024,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.143750473857,0.110908061266,0.487000018358,,,0
1580560108141461810,29,1580560108141230106,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.143750473857,0.110908061266,0.487000018358,,,0
1580560108206731784,30,1580560108206332921,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,1.0,0.0,1.0,0,0,-0.143750473857,0.110908061266,0.487000018358,,,0
